companypublickey,middleware_data,sfdc_data
3237838,"{'company_name': 'Miranda Real Estate Group, Inc', 'company_city': '', 'company_state': '', 'company_phone': '518-834-8206', 'company_webpage': ''}","{'company_name': 'Miranda Real Estate Group', 'company_city': 'Clifton Park', 'company_state': 'NY', 'company_phone': '', 'company_webpage': 'https://www.mirandarealestategroup.com/'}"
3202333,"{'company_name': 'Jim Maloof Realtor', 'company_phone': '309-969-0426', 'company_webpage': 'https://www.maloofrealty.com/'}","{'company_name': 'Jim Maloof Realty', 'company_phone': '(309) 692-3900', 'company_webpage': 'maloofrealty.com'}"
3208645,"{'company_name': 'JP and Associates REALTORS', 'company_addressline1': '', 'company_city': 'Austin', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'JP & Associates Realtors', 'company_addressline1': '3131 Turtle Creek Blvd #1015', 'company_city': 'Dallas', 'company_zipcode': '75219', 'company_phone': '(800) 683-5651', 'company_webpage': 'https://www.jpar.net/'}"
1431028,"{'company_name': 'Compass', 'company_addressline1': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Paragon Real Estate Group', 'company_addressline1': '1400 Van Ness Ave', 'company_phone': '(415) 565-0500', 'company_webpage': 'http://www.paragon-re.com/'}"
2686327,"{'company_name': ""Daniel Gale Sotheby's International Real"", 'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': ""Daniel Gale Sotheby's"", 'company_addressline1': '36 Main Street', 'company_zipcode': '11724', 'company_phone': '(800) 942-5334', 'company_webpage': 'http://www.danielgale.com/'}"
1527286,"{'company_name': 'J. Rockcliff Realtors', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'J. Rockliff Realtors', 'company_addressline1': '4145 Blackhawk Plaza Circle\nSuite 201', 'company_zipcode': '94506', 'company_phone': '(925) 324-1323', 'company_webpage': 'http://www.rockcliff.com/'}"
1234567,"{'company_name': 'Windermere', 'company_addressline1': '815 Western Ave', 'company_city': 'Seattle', 'company_zipcode': '98104', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Windermere Real Estate', 'company_addressline1': '842 EAST WASHINGTON', 'company_city': 'Kirkland', 'company_zipcode': '98382', 'company_phone': '(206) 695-5959', 'company_webpage': 'www.windermere.com'}"
3226792,"{'company_name': 'Dudum Real Estate', 'company_addressline1': '1910 Olympic Blvd', 'company_phone': '925-593-7400', 'company_webpage': 'www.dudum.com'}","{'company_name': 'Dudum Real Estate Group', 'company_addressline1': '1910 Olympic Blvd. #100', 'company_phone': '(925) 818-5500', 'company_webpage': 'http://www.dudum.com/HOME'}"
2848861,"{'company_phone': '', 'company_webpage': ''}","{'company_phone': '(877) 221-2765', 'company_webpage': 'http://www.century21.com/'}"
3077671,"{'company_name': 'William Raveis Real Estate Mortgage & In', 'company_phone': '888-869-9887', 'company_webpage': 'http://raveis.com'}","{'company_name': 'William Raveis Real Estate, Inc.', 'company_phone': '(203) 225-2540', 'company_webpage': ''}"
2860696,"{'company_name': 'RE/MAX of Boulder', 'company_addressline1': '2425 Canyon Blvd Ste 110', 'company_phone': '303-344-9700', 'company_webpage': 'www.boulderco.com'}","{'company_name': 'RE/MAX of Boulder, Inc.', 'company_addressline1': '2425 Canyon Blvd, #110', 'company_phone': '(303) 449-7000', 'company_webpage': 'http://www.boulderco.com/'}"
2601115,"{'company_name': 'Berkshire Hathaway HomeServices New Jers', 'company_addressline1': '', 'company_state': 'NJ', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Berkshire Hathaway HomeServices NJ Properties', 'company_addressline1': '220 Davidson Ave', 'company_state': 'Nj', 'company_zipcode': '08873', 'company_phone': '(908) 247-6524', 'company_webpage': 'http://www.bhhsnj.com/'}"
3192865,"{'company_phone': '570-058-7700', 'company_webpage': 'http://classicproperties.com'}","{'company_phone': '(570) 587-7000', 'company_webpage': 'http://www.classicproperties.com/'}"
3229948,"{'company_name': '@Properties', 'company_addressline1': '212 East Ohio', 'company_zipcode': '60611', 'company_phone': '312-225-4020', 'company_webpage': 'https://atproperties.com'}","{'company_name': '@properties', 'company_addressline1': '618 W. Fulton', 'company_zipcode': '60661', 'company_phone': '(312) 491-0200', 'company_webpage': 'http://www.atproperties.com/'}"
3203122,"{'company_name': 'JB Goodwin Realtors', 'company_addressline1': '3933 Steck Avenue Suite B-101', 'company_phone': '512-250-2780'}","{'company_name': 'JB Goodwin', 'company_addressline1': '3933 Steck Avenue, Suite B-101', 'company_phone': '(512) 502-7804'}"
1585672,"{'company_name': 'Howard Hanna', 'company_addressline1': '', 'company_city': 'Pittsburgh', 'company_state': 'PA', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Howard Hanna Real Estate Services', 'company_addressline1': '800 W St Clair Ave #300', 'company_city': 'Cleveland', 'company_state': 'OH', 'company_zipcode': '44113', 'company_phone': '(216) 447-4477', 'company_webpage': 'www.howardhanna.com'}"
2417278,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_addressline1': '1625 W. Glenoaks Blvd.', 'company_zipcode': '91201', 'company_phone': '(818) 476-3000'}"
1731637,"{'company_name': 'Star RE', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_name': 'Star Real Estate - South County', 'company_addressline1': '26711 Aliso Creek Rd\n200S', 'company_zipcode': '92656', 'company_phone': '(949) 433-4706'}"
2029879,"{'company_addressline1': '', 'company_city': 'Sebastopol', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '1405 Second Street', 'company_city': 'Napa', 'company_zipcode': '94559', 'company_phone': '(800) 681-1371', 'company_webpage': 'http://www.terrafirmaglobalpartners.com/'}"
2993248,"{'company_name': 'Compass', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_name': 'Pacific Union LA', 'company_addressline1': '150 S. Rodeo Drive, Suite 100', 'company_zipcode': '90212', 'company_phone': '(310) 272-8002'}"
3230737,"{'company_addressline1': '', 'company_city': '', 'company_state': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '270 E Carmel Dr', 'company_city': 'Carmel', 'company_state': 'IN', 'company_zipcode': '46032', 'company_phone': '(317) 814-5700', 'company_webpage': 'http://www.century21scheetz.com/'}"
1244035,"{'company_addressline1': '', 'company_zipcode': '73301', 'company_phone': ''}","{'company_addressline1': '1209 W. 5th Street, #300', 'company_zipcode': '', 'company_phone': '(512) 964-9668'}"
1576204,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '380 Diablo Road', 'company_zipcode': '94526', 'company_phone': '(925) 217-5000', 'company_webpage': 'http://www.empirerealty.com/'}"
2918293,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '2482 Pennington Rd\nSuite # 3', 'company_zipcode': '08534', 'company_phone': '(609) 737-1551', 'company_webpage': 'www.weidel.com'}"
1401835,"{'company_name': 'Cressy & Everett Real Estate', 'company_addressline1': '', 'company_phone': ''}","{'company_name': 'Cressy & Everett', 'company_addressline1': '332 N. Ironwood Drive', 'company_phone': '(574) 287-4600'}"
1648792,"{'company_name': 'BHG Mason-McDuffie', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Better Homes and Gardens Mason-McDuffie', 'company_addressline1': '7901 Stoneridge Drive, Suite 300', 'company_zipcode': '94588', 'company_phone': '(925) 924-4751', 'company_webpage': 'www.bhg.com'}"
1733215,"{'company_name': 'CENTURY 21 Award', 'company_addressline1': '', 'company_city': 'Racho Santa Margarita', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Century 21 Award', 'company_addressline1': '7676 Hazard Center Drive #300', 'company_city': 'San Diego', 'company_zipcode': '92108', 'company_phone': '(619) 471-2000', 'company_webpage': 'http://www.century21award.com/'}"
3188131,"{'company_addressline1': '10540 Talbert Avenue 100W', 'company_phone': '714-475-4626', 'company_webpage': 'starrealestate.com'}","{'company_addressline1': '10540 Talbert Avenue\nSuite 100W', 'company_phone': '(714) 754-6262', 'company_webpage': 'http://www.starrealestate.com/'}"
3184975,"{'company_name': 'BHHS Verani', 'company_addressline1': '', 'company_city': 'Amherst', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Berkshire Hathaway HomeServices Verani Realty', 'company_addressline1': 'One Verani Way', 'company_city': 'Londonerry', 'company_zipcode': '03053', 'company_phone': '(888) 723-0306', 'company_webpage': 'https://www.verani.com/'}"
3183397,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_addressline1': '27740 Jefferson Ave. Suite 100', 'company_zipcode': '92590', 'company_phone': '(951) 676-5736'}"
1490992,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_addressline1': '3640 American River Dr, Suite 100', 'company_zipcode': '95864', 'company_phone': '(916) 483-4450'}"
3232315,"{'company_name': 'Smith & Associates', 'company_addressline1': '3801 Bay to Bay Boulevard', 'company_zipcode': '33629', 'company_phone': '813-324-5013', 'company_webpage': 'www.smithandassociates.com'}","{'company_name': 'Smith & Associates Real Estate', 'company_addressline1': '3801 W. Bay to Bay Boulevard', 'company_zipcode': 'Tampa', 'company_phone': '(813) 839-3800', 'company_webpage': 'http://www.smithandassociates.com/'}"
3207067,"{'company_name': 'Carrington Real Estate', 'company_addressline1': '', 'company_city': '', 'company_state': '', 'company_zipcode': '', 'company_phone': ''}","{'company_name': 'Carrington Real Estate Services', 'company_addressline1': '1600 S Douglass Rd, Suite 120', 'company_city': 'Anaheim', 'company_state': 'CA', 'company_zipcode': '92806', 'company_phone': '(877) 330-2773'}"
2407021,"{'company_name': 'High Desert Association of REALTORS', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_name': 'High Desert AOR', 'company_addressline1': '11890 Hesperia Road', 'company_zipcode': '92345', 'company_phone': '(760) 244-8841'}"
1732426,"{'company_name': 'Realty ONE Group', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Realty One Group', 'company_addressline1': '7545 Irvine Center Drive, suite 250', 'company_zipcode': '92604', 'company_phone': '(949) 596-4300', 'company_webpage': 'https://www.realtyonegroup.com/'}"
3189709,"{'company_name': 'Keller Williams Realty', 'company_phone': '925-585-5833', 'company_webpage': 'http://www.kwdanville.com'}","{'company_name': 'Keller Williams Realty Danville', 'company_phone': '(925) 683-5499', 'company_webpage': 'http://www.kwdanville.com/'}"
2341534,"{'company_name': 'HomeCity, Inc.', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'HomeCity Real Estate', 'company_addressline1': '7000 Bee Cave Rd Suite 350', 'company_zipcode': '78746', 'company_phone': '(512) 502-8900', 'company_webpage': 'https://www.homecity.com/'}"
2451205,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '930 N. Congress Ave #220', 'company_zipcode': '33426', 'company_phone': '(561) 880-2600', 'company_webpage': 'http://www.homesbydirect.com/'}"
2467774,"{'company_name': 'Berkshire Hathaway HomeServices', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_name': 'Berkshire Hathaway HomeServices Corporate', 'company_addressline1': '18500 Von Karman Ave, Ste 400', 'company_zipcode': '92612', 'company_phone': '(949) 794-7900'}"
2339167,"{'company_name': 'Troop Real Estate Inc.', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Century 21 Troop Real Estate Inc.', 'company_addressline1': '3200 E. Los Angeles Avenue, Suite 12', 'company_zipcode': '93065-3976', 'company_phone': '(805) 426-0612', 'company_webpage': 'http://troop.com'}"
3193654,"{'company_name': 'EXP Realty of California', 'company_addressline1': '2603 Camino Ramon Suite 200', 'company_phone': ''}","{'company_name': 'eXp Realty of California Inc', 'company_addressline1': '2603 Camino Ramon, Suite 200', 'company_phone': '9097099553'}"
3239416,"{'company_addressline1': '500 Bicentennial Way Suite 310', 'company_phone': '707-759-1057', 'company_webpage': 'wrealestate.net'}","{'company_addressline1': '500 Bicentennial Way, Suite 210', 'company_phone': '7074797516', 'company_webpage': ''}"
3079249,"{'company_name': 'Realty Masters & Associates', 'company_city': 'Newport Beach', 'company_phone': ''}","{'company_name': 'Realty Masters & Associates, Inc.', 'company_city': '', 'company_phone': '7143681300'}"
3270976,"{'company_name': 'Ebby Halliday', 'company_phone': '', 'company_webpage': 'www.ebby.com'}","{'company_name': 'Ebby Halliday Companies', 'company_phone': '(972) 980-6600', 'company_webpage': 'http://www.ebby.com/'}"
3231526,"{'company_addressline1': '1041 41st Avenue', 'company_phone': '831-142-9570', 'company_webpage': 'http://www.davidlyng.com'}","{'company_addressline1': '1041 41st Ave', 'company_phone': '(831) 626-6565', 'company_webpage': 'http://www.davidlyng.com/eng'}"
3241783,"{'company_name': 'RE/MAX SELECT', 'company_addressline1': '137 Elmer St', 'company_city': 'Westfield', 'company_zipcode': '07090', 'company_phone': '908-823-3929', 'company_webpage': 'https://www.wesellnewjersey.com/'}","{'company_name': 'RE/MAX Select of New Jersey', 'company_addressline1': '20 W Main St', 'company_city': 'Rockaway', 'company_zipcode': '07866', 'company_phone': '(908) 531-9665', 'company_webpage': ''}"
3272554,"{'company_state': '', 'company_phone': '978-836-9645', 'company_webpage': 'https://barrettsothebysrealty.com'}","{'company_state': 'MA', 'company_phone': '7818621700', 'company_webpage': ''}"
3100552,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '535 Boylston Street', 'company_zipcode': '02116', 'company_phone': '(617) 841-7949', 'company_webpage': 'www.warrenre.com'}"
3206278,"{'company_name': 'RE/MAX Metro', 'company_addressline1': '', 'company_city': '', 'company_state': '', 'company_zipcode': '', 'company_phone': '727-789-6180'}","{'company_name': 'RE/Max Metro Florida', 'company_addressline1': '150 Second Avenue North, Suite 100', 'company_city': 'St.Petersburg', 'company_state': 'FL', 'company_zipcode': '33701', 'company_phone': '(727) 896-1800'}"
1925731,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '13500 Galleria Circle Suite U-115', 'company_zipcode': '78738', 'company_phone': '(512) 600-1800', 'company_webpage': 'http://www.austinhomelistings.com/'}"
1612498,"{'company_name': 'Seven Gables Real Estate', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Seven Gables', 'company_addressline1': '12651 Newport Avenue', 'company_zipcode': '92780-2422', 'company_phone': '(714) 731-3777', 'company_webpage': 'www.sevengables.com'}"
2604271,"{'company_name': 'Big Block Realty, Inc.', 'company_addressline1': '2820 Camino Del Rio S Ste 314', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Big Block Realty', 'company_addressline1': '2820 Camino Del Rio S. #314', 'company_phone': '(800) 550-3209', 'company_webpage': 'http://bigblockrealty.com/'}"
3233104,"{'company_name': 'BHHS KoenigRubloff Realty Group', 'company_addressline1': '980 N Michigan Avenue Ste 700', 'company_phone': '312-294-4890'}","{'company_name': 'Berkshire Hathaway HomeServices KoenigRubloff Realty Group', 'company_addressline1': '980 N. Michigan Ave. Ste. 900', 'company_phone': '(866) 795-1010'}"
2370727,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_addressline1': '1400 Newport Center Dr #100', 'company_zipcode': '92660', 'company_phone': '(949) 717-7100'}"
2530105,"{'company_addressline1': '3516 Deer Park Drive Suite A', 'company_city': 'Stockton', 'company_zipcode': '95219', 'company_phone': '209-947-2201', 'company_webpage': 'http://www.pmz.com'}","{'company_addressline1': '1120 Scenic Dr', 'company_city': 'Modesto', 'company_zipcode': '95350', 'company_phone': '(209) 527-2010', 'company_webpage': 'http://www.pmz.com/'}"
3240205,"{'company_name': 'Leading Edge Real Estate', 'company_addressline1': '2 Mount Vernon St.', 'company_phone': '781-172-9550', 'company_webpage': 'www.leadingedgeagents.com'}","{'company_name': 'Leading Edge', 'company_addressline1': '2 Mt Vernon Street', 'company_phone': '(781) 729-5505', 'company_webpage': 'http://leadingedgeagents.com/'}"
1855510,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_addressline1': '1414 East F Street, Bldg B', 'company_zipcode': '95361', 'company_phone': '(209) 985-0603'}"
3203911,"{'company_name': 'Better Homes and Gardens Reliance Partne', 'company_phone': '917-775-7697', 'company_webpage': ''}","{'company_name': 'Better Homes and Gardens Reliance Partners', 'company_phone': '(916) 757-6970', 'company_webpage': 'https://www.bhgre.com/better-homes-and-gardens-real-estate-reliance-partners-7663c'}"
2782585,"{'company_name': 'Better Homes and Gardens David Winans & Associates', 'company_addressline1': '17734 Preston Road Ste 100', 'company_zipcode': '75252', 'company_phone': '972-277-4988', 'company_webpage': 'https://betterdfw.com/'}","{'company_name': 'Better Homes and Gardens Winans', 'company_addressline1': '17734 Preston Rd', 'company_zipcode': '', 'company_phone': '(972) 774-9888', 'company_webpage': 'www.betterdfw.com'}"
3057157,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '1000 Saint Albans Drive, Suite 400', 'company_zipcode': '27609', 'company_phone': '(919) 785-4364', 'company_webpage': 'www.fmrealty.com'}"
3210223,"{'company_name': 'LeadingRE', 'company_addressline1': '', 'company_city': '', 'company_state': '', 'company_zipcode': '', 'company_phone': ''}","{'company_name': 'Leading Real Estate Companies of the World', 'company_addressline1': '161 N. Clark St. Suite 1250', 'company_city': 'Chicago', 'company_state': 'IL', 'company_zipcode': '60601', 'company_phone': '(312) 424-0400'}"
2529316,"{'company_name': 'Coldwell Banker Kappel Gateway', 'company_addressline1': '401 Davis St, Suite D', 'company_phone': '707-744-7070', 'company_webpage': 'www.kappelgateway.com'}","{'company_name': 'Coldwell Banker Kappel Gateway Realty', 'company_addressline1': '750 Mason Street, Suite 101', 'company_phone': '(707) 447-0700', 'company_webpage': ''}"
3212590,"{'company_addressline1': '', 'company_city': '', 'company_state': '', 'company_zipcode': '', 'company_phone': ''}","{'company_addressline1': '1801 Main St', 'company_city': 'Sarasota', 'company_state': 'FL', 'company_zipcode': '34236', 'company_phone': '(941) 955-8200'}"
2289460,"{'company_name': 'RE/MAX Town and Country', 'company_addressline1': '', 'company_city': 'Allen', 'company_state': 'TX', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'RE/MAX Town & Country', 'company_addressline1': '661 Appalachian Trail', 'company_city': 'Alpharetta', 'company_state': 'GA', 'company_zipcode': '30513', 'company_phone': '(706) 632-7653', 'company_webpage': 'http://www.remax.com/realestateofficerealtor/blueridge-ga-30513-remaxtowncountry-id60480454.html'}"
3200755,"{'company_addressline1': '9378 Wilshire Blvd. Ste 200', 'company_phone': '310-050-0390', 'company_webpage': ''}","{'company_addressline1': '9378 Wilshire Blvd, Ste 200', 'company_phone': '(310) 500-3900', 'company_webpage': 'http://www.thepartnerstrust.com/'}"
2818879,"{'company_name': 'Coldwell Banker Residential Brokerage So', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': ''}","{'company_name': 'Coldwell Banker Residential Brokerage Southwest Region', 'company_addressline1': '100 N. Crescent Dr. Suite 324', 'company_zipcode': '90210', 'company_phone': '(480) 296-3030'}"
3218113,"{'company_name': 'BHHS Utah Properties', 'company_addressline1': '340 3000 E #600', 'company_city': 'Salt Lake City', 'company_zipcode': '84121', 'company_phone': '801-199-0040', 'company_webpage': 'https://www.bhhsutah.com/'}","{'company_name': 'Berkshire Hathaway HomeServices Utah Properties', 'company_addressline1': '537 Main Street', 'company_city': 'Park City', 'company_zipcode': '84060', 'company_phone': '(435) 649-7171', 'company_webpage': ''}"
1751362,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '9171 Wilshire Boulevard, Suite 321', 'company_zipcode': '90210', 'company_phone': '(310) 471-2600', 'company_webpage': 'http://www.rodeore.com/'}"
3076093,"{'company_name': 'Better Homes and Gardens Real Estate Ran', 'company_addressline1': '', 'company_city': 'Nanuet', 'company_state': 'NY', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Better Homes and Gardens Rand Realty', 'company_addressline1': '970 Valley Rd', 'company_city': 'Wayne', 'company_state': 'NJ', 'company_zipcode': '07470', 'company_phone': '(973) 694-6500', 'company_webpage': 'randrealty.com'}"
3140002,"{'company_name': 'Crye-Leike', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Crye-Leike Real Estate Services', 'company_addressline1': '5111 Maryland Way, Suite 300', 'company_zipcode': '37027', 'company_phone': '(901) 756-8900', 'company_webpage': 'http://www.crye-leike.com/main/'}"
2420434,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '5380 N. Fresno Street, #101', 'company_zipcode': '93710', 'company_phone': '(559) 650-6000', 'company_webpage': 'http://www.guarantee.com/'}"
2018833,"{'company_name': 'Watson Realty Corp Realtors', 'company_addressline1': '7821 Deercreek Club Rd. Suite 200', 'company_zipcode': '32256', 'company_phone': ''}","{'company_name': 'Watson Realty Corp', 'company_addressline1': '7821 Deercreek Club Rd., Suite 101', 'company_zipcode': '32256-3551', 'company_phone': '(904) 596-5900'}"
3145525,"{'company_name': 'Coldwell Banker Residential Brokerage NR', 'company_addressline1': '', 'company_city': '', 'company_state': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'NRT Corporate', 'company_addressline1': '175 Park Avenue', 'company_city': 'Madison', 'company_state': 'NJ', 'company_zipcode': '07940', 'company_phone': '(973) 407-5296', 'company_webpage': 'http://www.nrtllc.com/'}"
3237049,"{'company_name': 'Ascent Real Estate', 'company_addressline1': '', 'company_city': '', 'company_state': '', 'company_zipcode': '', 'company_phone': '619-932-5410', 'company_webpage': ''}","{'company_name': 'Ascent Real Estate, Inc.', 'company_addressline1': '410 Kalmia St.', 'company_city': 'San Diego', 'company_state': 'CA', 'company_zipcode': '92101', 'company_phone': '(619) 325-4105', 'company_webpage': 'http://www.ascentrealestate.net/'}"
1244824,"{'company_name': 'Keller Williams', 'company_zipcode': '73301', 'company_phone': ''}","{'company_name': 'Keller Williams Austin', 'company_zipcode': '', 'company_phone': '9048065448'}"
2225551,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '2001 Lombard Street', 'company_zipcode': '94123', 'company_phone': '(415) 296-2163', 'company_webpage': 'http://www.mcguire.com/'}"
1636957,"{'company_name': 'Turpin Realtors', 'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Turpin Real Estate, Inc.', 'company_addressline1': '186 Main Street', 'company_zipcode': '07928', 'company_phone': '(908) 766-6500', 'company_webpage': 'http://www.turpinrealtors.com/'}"
1621177,"{'company_name': 'Willis Allen Real Estate', 'company_phone': '', 'company_webpage': ''}","{'company_name': 'Willis Allen', 'company_phone': '(858) 459-4033', 'company_webpage': 'willisallen.com'}"
2376250,"{'company_addressline1': '', 'company_zipcode': '', 'company_phone': '', 'company_webpage': ''}","{'company_addressline1': '850 7th Street', 'company_zipcode': '94107', 'company_phone': '(415) 348-1212', 'company_webpage': 'zephyrsf.com'}"
3220480,"{'company_name': 'Intero Real Estate', 'company_phone': '408-834-2300', 'company_webpage': 'http://www.interorealestate.com'}","{'company_name': 'Intero Real Estate Services', 'company_phone': '(408) 741-1600', 'company_webpage': 'http://www.interorealestate.com/'}"
3199966,"{'company_addressline1': '214 Los Gatos-Saratoga Road', 'company_city': 'Los Gatos', 'company_zipcode': '95030', 'company_phone': '408-833-5140', 'company_webpage': 'www.serenogroup.com'}","{'company_addressline1': '369 South San Antonio Road', 'company_city': 'Los Altos', 'company_zipcode': '94022', 'company_phone': '(650) 947-2900', 'company_webpage': ''}"
2944330,"{'company_name': 'Randall Family of Companies', 'company_zipcode': '02813', 'company_phone': '401-136-4338', 'company_webpage': 'http://www.randallrealtors.com/'}","{'company_name': 'The Randall Family of Companies', 'company_zipcode': '02891', 'company_phone': '(774) 336-5100', 'company_webpage': ''}"
