company_legalname,company_name,companypublickey,company_addressline1,company_city,company_state,company_zipcode,company_phone,company_webpage,agent_count,company_moxi_hub,company_moxi_dms,company_moxi_engage,company_moxi_present,company_moxi_websites,company_moxi_talent,company_moxi_insights,show_in_product_marketing,advertise_your_listing,ayl_emails,advertise_your_services,ays_emails,direct_marketing,reason
Berkshire Hathaway HomeServices Utah Pro,BHHS Utah Properties,3218113,340 3000 E #600 ,Salt Lake City,UT,84121,801-199-0040,https://www.bhhsutah.com/,421,False,False,False,True,False,False,False,True,True,False,True,False,False,Duplicate company of: 3218113
Carmel Realty Company,Carmel Realty Company,3211801, ,Carmel-By-The-Sea,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
B Side Properties LLC,B Side Properties,3197599, ,Austin,TX,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
McMonigle Group Corp,McMonigle Group,3207856, ,,,,949-979-1816,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Coldwell Banker,Coldwell Banker,3219691, ,Orlando,FL,32837,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Keller Williams Realty -El Cajon,Keller Williams Realty -El Cajon,3198388, ,El Cajon,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
JP and Associates Realtors,JP and Associates REALTORS,3208645, ,Austin,TX,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Douglas Elliman Real Estate,Douglas Elliman Real Estate,3188920, ,San Diego,CA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Watson Realty Corp Realtors,Watson Realty Corp Realtors,2018833,7821 Deercreek Club Rd. Suite 200,Jacksonville,FL,32256,,http://www.watsonrealtycorp.com/,1180,False,False,False,True,False,False,False,True,True,False,True,False,False,Duplicate company of: 2018833
eXp Realty - Kelly Broaddus Real Estate ,eXp Realty - Kelly Broaddus Real Estate ,3216535, ,Peoria,AZ,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Leading Edge Real Estate,Leading Edge Real Estate,3240205,2 Mount Vernon St. ,Winchester,MA,01890,781-172-9550,www.leadingedgeagents.com,174,True,False,True,True,False,False,True,True,True,True,True,False,True,Duplicate company of: 3240205
AVACAD Inc,AVACAD Inc.,3218902, ,San Ramon,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
eXp Realty,eXp Realty,3211012, ,Austin,TX,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
EXP Realty of California,EXP Realty of California,3193654,2603 Camino Ramon Suite 200,San Ramon,CA,94583,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Partners Trust,Partners Trust,3200755,9378 Wilshire Blvd. Ste 200,Beverly Hills,CA,90212,310-050-0390,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Willis Allen Real Estate,Willis Allen Real Estate,1621177,1131 Wall St ,La Jolla,CA,92037,,,165,False,False,False,True,False,False,False,True,True,True,True,False,False,Duplicate company of: 1621177
Cressy & Everett Real Estate,Cressy & Everett Real Estate,1401835, ,South Bend,IN,46615,,,180,False,False,False,True,False,False,False,True,True,False,True,False,False,Duplicate company of: 1401835
Star RE,Star RE,1731637, ,Aliso Viejo,CA,,,,5,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 1731637
High Desert Association of REALTORS,High Desert Association of REALTORS,2407021, ,Hesperia,CA,,,,428,False,False,False,True,False,False,False,True,True,False,True,False,False,Duplicate company of: 2407021
Crye-Leike Real Estate Services,Crye-Leike,3140002, ,Brentwood,TN,,,,3223,False,False,True,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 3140002
Intero Real Estate,Intero Real Estate,3220480,10275 N. De Anza Blvd. ,Cupertino,CA,95014,408-834-2300,http://www.interorealestate.com,2179,True,False,True,True,True,True,False,True,False,False,False,False,False,Duplicate company of: 3220480
MoxiWorks Tst ACCT,MoxiWorks Test,3016129, ,Seattle,WA,,,,3,False,False,False,True,False,False,False,True,False,False,False,False,False,"Companypublickey contains 3016129, Agent count is less then 5"
Century 21 M&M and Associates,Century 21 M&M and Associates,1855510, ,Oakdale,CA,,,,90,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 1855510
Google Auth Test,Google Auth Test,3205489, ,,,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,"Companypublickey contains 3205489, Agent count is less then 5"
Gapps Moxiworks,Gapps Moxiworks,2485132, ,,,,,,3,True,False,True,True,True,False,False,True,True,True,False,False,False,"Companypublickey contains 2485132, Agent count is less then 5"
TEST Company,TEST Company,1509928, ,Testville,WA,,,,21,False,False,False,True,False,False,False,True,False,False,False,False,False,Companypublickey contains 1509928
MRIS,MRIS,1240879, ,Baltimore,MD,21212,,,10,False,False,False,True,False,False,False,False,False,False,False,False,False,Companypublickey contains 1240879
VIP Realty,VIP Realty,1240090, ,Naples,FL,32456,,,34,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 1240090
Better Homes and Gardens Mason-McDuffie ,BHG Mason-McDuffie,1648792, ,Pleasanton,CA,,,,7,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 1648792
Guarantee Real Estate,Guarantee Real Estate,2420434, ,Fresno,CA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
RE/MAX Town and Country,RE/MAX Town and Country,2289460, ,Allen,TX,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Surterre Properties,Surterre Properties,2370727, ,Newport Beach,CA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
The Alexander Team,The Alexander Team,2212138, ,Atlanta,GA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Village Properties,Village Properties,2474086,1250 Coast Village Road ,Montecito,CA,93108,805-596-9890,https://www.villagesite.com,176,True,False,True,True,True,False,False,True,True,True,True,True,True,Duplicate company of: 2474086
CENTURY 21 Award,CENTURY 21 Award,1733215, ,Racho Santa Margarita,CA,,,,4,False,False,False,True,False,False,False,True,False,False,False,False,False,Agent count is less then 5
Beverly-Hanks & Associates,Beverly-Hanks & Associates,2915926, ,Ashville,NC,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
"Century 21 Mike Bowman, Inc.","Century 21 Mike Bowman, Inc.",2335222, ,Grapevine,TX,,,,5,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 2335222
Decker Bullock Sotheby's International R,Decker Bullock Sotheby's International R,2197936, ,Greenbrae,CA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
RE/MAX Direct,RE/MAX Direct,2451205, ,Boynton Beach,FL,,,,92,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 2451205
Austin Board of Realtors,Austin Board of Realtors,1239301, ,Austin,TX,73301,,,3,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
J. Rockcliff Realtors,J. Rockcliff Realtors,1527286, ,Danville,CA,,,,372,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 1527286
King Realty,King Realty,3081616, ,San Francisco,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Turpin Realtors,Turpin Realtors,1636957, ,Chatham,NJ,,,,116,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 1636957
Berkshire Hathaway HomeServices,Berkshire Hathaway HomeServices,2467774, ,Irvine,CA,,,,3,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Troop Real Estate Inc.,Troop Real Estate Inc.,2339167, ,Simi Valley,CA,,,,153,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 2339167
"HomeCity, Inc.","HomeCity, Inc.",2341534, ,Austin,TX,,,,164,False,False,False,True,False,False,False,True,True,False,True,False,False,Duplicate company of: 2341534
McGuire Real Estate,McGuire Real Estate,2225551, ,San Francisco,CA,,,,118,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 2225551
Terra Firma Global Partners,Terra Firma Global Partners,2029879, ,Sebastopol,CA,,,,60,True,False,True,True,False,False,True,True,True,False,True,False,False,Duplicate company of: 2029879
Berkshire Hathaway HomeServices New Jers,Berkshire Hathaway HomeServices New Jers,2601115, ,Somerset,NJ,,,,5,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 2601115
Zephyr Real Estate,Zephyr Real Estate,2376250, ,San Francisco,CA,,,,190,False,False,False,True,False,False,False,True,True,False,True,False,False,Duplicate company of: 2376250
Demo,Demo,1261393, ,Austin,TX,73301,,,25,False,False,False,True,False,False,False,True,False,False,False,False,False,Companypublickey contains 1261393
RE/MAX Northern Illinois,RE/MAX Northern Illinois,2846494, ,Chicago,IL,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Century 21 Real Estate LLC,Century 21 Real Estate LLC,2848861,175 Park Avenue ,Madison,NJ,07940,,,8,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 2848861
Howard Hanna,Howard Hanna,1585672, ,Pittsburgh,PA,,,,9529,True,False,True,True,False,True,True,True,True,False,True,False,False,Duplicate company of: 1585672
Barrett Sotheby's International Realty,Barrett Sotheby's International Realty,3272554, ,,,,978-836-9645,https://barrettsothebysrealty.com,5,True,False,True,True,True,True,True,True,True,True,True,True,True,Duplicate company of: 3272554
Realty ONE Group,Realty ONE Group,1732426, ,Irvine,CA,,,,11638,False,False,True,True,True,True,False,True,True,True,True,False,False,Duplicate company of: 1732426
Classic Properties,Classic Properties,3192865,324 South State Street ,Clarks Summit,PA,18411,570-058-7700,http://classicproperties.com,112,False,False,False,True,False,False,False,True,True,True,True,False,False,Duplicate company of: 3192865
MoxiWorks,MoxiWorks,1624333,815 Western Ave STE 400,Seattle,WA,98104,,moxiworks.com,321,True,True,True,True,True,True,True,True,True,False,True,False,False,Companypublickey contains 1624333
Coldwell Banker Residential Brokerage NR,Coldwell Banker Residential Brokerage NR,3145525, ,,,,,,49512,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 3145525
Sereno Group,Sereno Group,3199966,214 Los Gatos-Saratoga Road ,Los Gatos,CA,95030,408-833-5140,www.serenogroup.com,434,True,False,True,True,False,False,False,True,True,True,True,True,False,Duplicate company of: 3199966
Keller Williams Realty Danville and Waln,Keller Williams Realty,3189709,760 Camino Ramon #200 ,Danville,CA,94526,925-585-5833,http://www.kwdanville.com,701,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 3189709
Star Real Estate,Star Real Estate,3188131,10540 Talbert Avenue 100W,Fountain Valley,CA,92708,714-475-4626,starrealestate.com,11,False,False,True,True,True,False,False,True,False,False,False,False,False,Duplicate company of: 3188131
Compass,Compass,1412092, ,San Francisco,CA,94129,,,811,False,False,True,True,False,False,False,True,True,False,False,False,False,Duplicate company of: 1412092
MoxiWorks LLC,MoxiWorks LLC,3139213,815 Western Ave Suite 300,Seattle,WA,98104,206-638-8478,http://moxiworks.com,104,True,True,True,True,True,True,True,True,True,False,False,False,False,Companypublickey contains 3139213
Chase International,Chase International,3091873, ,Lake Tahoe,NV,,,,348,False,False,False,True,False,False,False,True,True,True,True,False,False,Duplicate company of: 3091873
Coldwell,Coldwell Banker Kappel Gateway,2529316,"401 Davis St, Suite D ",Vacaville,CA,95688,707-744-7070,www.kappelgateway.com,564,True,False,False,True,False,False,False,True,True,False,False,False,False,Duplicate company of: 2529316
Berkshire Hathaway HomeServices Warren R,Berkshire Hathaway HomeServices Warren R,3100552, ,Boston,MA,,,,34,False,False,True,True,True,True,False,True,True,True,True,False,False,Companypublickey contains 3100552
Better Homes and Gardens Real Estate Ran,Better Homes and Gardens Real Estate Ran,3076093, ,Nanuet,NY,,,,1765,True,False,True,True,True,False,False,True,True,False,True,False,False,Duplicate company of: 3076093
William Raveis Real Estate,William Raveis Real Estate Mortgage & In,3077671,7 Trap Falls Rd ,Shelton,CT,06484,888-869-9887,http://raveis.com,4133,False,False,True,True,False,True,False,True,True,False,True,False,False,Duplicate company of: 3077671
Fonville Morisey Realty a Long & Foster ,Fonville Morisey Realty,3057157, ,Raleigh,NC,,,,747,False,False,True,True,True,True,False,True,True,True,True,False,False,Duplicate company of: 3057157
Seven Gables Real Estate,Seven Gables Real Estate,1612498, ,Tustin,CA,,,,442,False,False,True,True,True,True,False,True,True,True,False,False,False,Duplicate company of: 1612498
Coldwell Banker Hallmark Realty,Coldwell Banker Hallmark Realty,2417278, ,Glendale,CA,,,,119,True,True,True,True,True,False,False,True,True,True,True,False,False,Duplicate company of: 2417278
Randall Family of Companies,Randall Family of Companies,2944330,4009 Old Post Road ,Charlestown,RI,02813,401-136-4338,http://www.randallrealtors.com/,1323,True,False,True,True,True,False,True,True,True,True,True,False,True,Duplicate company of: 2944330
Coldwell Banker Residential Brokerage So,Coldwell Banker Residential Brokerage So,2818879, ,Beverly Hills,CA,,,,242,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 2818879
Deasy Penner Podley,Deasy Penner Podley,1416826, ,Pasadena,CA,91101,,,416,True,False,True,True,True,False,False,True,True,True,True,False,False,Duplicate company of: 1416826
Daniel Gale Sotheby's International Real,Daniel Gale Sotheby's International Real,2686327, ,Cold Spring Harbor,NY,,,,191,True,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 2686327
Bean Group,Bean Group,2842549, ,South Portland,ME,,,,568,True,False,True,True,True,False,False,True,True,True,True,False,False,Companypublickey contains 2842549
Phyllis Browning Company,Phyllis Browning Company,2858329, ,San Antonio,TX,,,,235,False,False,True,True,True,True,False,True,True,False,True,False,False,Duplicate company of: 2858329
"RE/MAX of Boulder, Inc.",RE/MAX of Boulder,2860696,2425 Canyon Blvd Ste 110 ,Boulder,CO,80302,303-344-9700,www.boulderco.com,228,True,False,True,True,True,True,False,True,True,True,True,False,False,Duplicate company of: 2860696
Weidel Real Estate,Weidel Real Estate,2918293, ,Pennington,NJ,,,,645,True,False,True,True,True,True,False,True,True,False,True,False,False,Duplicate company of: 2918293
Lyon Real Estate,Lyon Real Estate,1490992, ,Sacramento,CA,,,,917,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 1490992
Four Seasons Sotheby's International,Four Seasons Sotheby's International,3190498,550 Hinesburg Road ,South Burlington,VT,05403,802-286-4054,http://www.fourseasonssir.com,240,True,False,True,True,True,True,True,True,True,True,True,False,False,Duplicate company of: 3190498
Jim Maloof Realtor,Jim Maloof Realtor,3202333,803 W. Pioneer Parkway ,Peoria,IL,61615,309-969-0426,https://www.maloofrealty.com/,228,True,False,True,True,True,True,False,True,True,False,True,False,False,Duplicate company of: 3202333
Better Homes and Garden Reliance Partner,Better Homes and Gardens Reliance Partne,3203911,925 Highland Pointe Dr. ,Roseville,CA,95678,917-775-7697,,612,True,False,True,True,True,False,False,True,True,True,True,False,False,Duplicate company of: 3203911
RE/MAX Metro,RE/MAX Metro,3206278, ,,,,727-789-6180,https://www.metroagents.com/,218,True,False,True,True,True,True,False,True,True,True,True,False,False,Duplicate company of: 3206278
JB Goodwin Realtors,JB Goodwin Realtors,3203122,3933 Steck Avenue Suite B-101,Austin,TX,78759,512-250-2780,https://www.jbgoodwin.com/,751,True,False,True,True,True,True,False,True,True,True,True,False,False,Duplicate company of: 3203122
BHHS Verani Realty,BHHS Verani,3184975, ,Amherst,NH,,,,657,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 3184975
Leading Real Estate Companies of the Wor,LeadingRE,3210223, ,,,,,,10,True,False,False,True,False,False,False,False,True,False,True,False,False,Duplicate company of: 3210223
Better Homes and Gardens David Winans & ,Better Homes and Gardens David Winans & ,2782585,17734 Preston Road Ste 100,Dallas,TX,75252,972-277-4988,https://betterdfw.com/,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Pinnacle Estate Properties Inc.,"Pinnacle Estate Properties, Inc.",2920660, ,Mission Hills,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
PMZ Real Estate,PMZ Real Estate,2530105,3516 Deer Park Drive Suite A,Stockton,CA,95219,209-947-2201,http://www.pmz.com,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
RE/MAX Gold,RE/MAX Gold,1761619, ,Vacaville,CA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Rodeo Realty,Rodeo Realty,1751362, ,Beverly Hills,CA,,,,5,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 1751362
Regression_ECOMMADMIN_LICENSES,Regression_ECOMMADMIN_LICENSES,2958532, ,Testville,WA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,"Companypublickey contains 2958532, Agent count is less then 5"
Elevate Realty Group,Elevate Realty Group,2731300, ,Granbury,TX,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Fusion Real Estate Network,Fusion Real Estate Network,1829473, ,Sacramento,CA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Mortgage Services,Mortgage Services,2980624, ,Seattle,WA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,"Companypublickey contains 2980624, Agent count is less then 5"
Realty Austin,Realty Austin,1244035, ,Austin,TX,73301,,,456,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 1244035
GoodLife Realty,GoodLife Realty,1242457, ,Austin,TX,73301,,,12,False,False,False,True,False,False,False,True,False,False,False,False,False,Companypublickey contains 1242457
Keller Williams Realty North Country,Keller Williams Realty North Country,2732089, ,Celina,TX,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Keller Williams Roseville,Keller Williams Roseville,1839730, ,Roseville,CA,,,,6,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 1839730
Keller Williams Southwest Market Center,Keller Williams Southwest Market Center,3039799, ,Austin,TX,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Moreland Real Estate,Moreland Real Estate,1243246, ,Austin,TX,73301,,,4,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Reilly Realtors,Reilly Realtors,1925731, ,Austin,TX,,,,79,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 1925731
Realty Masters & Associates,Realty Masters & Associates,3079249, ,Newport Beach,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Empire Realty Associates,Empire Realty Associates,1576204, ,Danville,CA,,,,4,False,False,False,True,False,False,False,True,False,False,False,False,False,Agent count is less then 5
Compass,Compass,1431028, ,San Francisco,CA,94109,,,198,False,False,False,True,False,False,False,True,False,False,False,False,False,Duplicate company of: 1431028
"Genexus Group, Powered by eXp Realty","Genexus Group, Powered by eXp Realty",3144736,"402-A W Palm Valley Blvd, #350 ",Round Rock,TX,78664,,GenexusGroup.com,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Keller Williams,Keller Williams,1244824, ,Austin,TX,73301,,,4,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Branding Demo,Branding Demo,1553323, ,Seattle,WA,,,,2,False,False,False,True,False,False,False,True,False,False,False,False,False,"Companypublickey contains 1553323, Agent count is less then 5"
DEMO ONLY - Noly,DEMO ONLY - Noly,1663783, ,Sacramento,CA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,"Companypublickey contains 1663783, Agent count is less then 5"
DEMO ONLY - Suralc,DEMO ONLY - Suralc,1664572,525 South Virgil Avenue ,"Los Angeles,",CA,90020,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,"Companypublickey contains 1664572, Agent count is less then 5"
RE/MAX Metro Layton,RE/MAX Metro Layton,3098185, ,Layton,UT,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
ISellTheCity Real Estate,ISellTheCity Real Estate,3110809, ,San Diego,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
TransPac Real Estate Inc & Lazar Homes,TransPac Real Estate Inc & Lazar Homes,3111598, ,Los Altos,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Select Homes Real Estate,Select Homes Real Estate,3112387, ,San Diego,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
HomeSmart Realty West,HomeSmart Realty West,3114754, ,Carlsbad,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
J & A Realty,J & A Realty,3122644, ,Fremont,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Pacific Oak Real Estate Services,Pacific Oak Real Estate Services,3125011,"17100 Monterey Rd., Ste. 2-A ",Morgan Hill,CA,95037,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Keller Williams Realty,Keller Williams Realty,3123433, ,Corona,CA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
TouchCMA Demo,TouchCMA Demo,2582968, ,Seattle,WA,,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,"Companypublickey contains 2582968, Agent count is less then 5"
Automation Test,Automation Test,2835448, ,Seattle,WA,,,,2,False,False,False,True,False,False,False,True,False,False,False,False,False,"Companypublickey contains 2835448, Agent count is less then 5"
Hosted Moxiworks 2013,Hosted Moxiworks 2013,2579812,815 Western Ave ,Seattle,WA,98104,222-222-2222,,4,True,False,True,True,True,False,False,True,False,False,False,False,False,"Companypublickey contains 2579812, Agent count is less then 5"
Hosted Moxiworks 2010,Hosted Moxiworks 2010,2843338, ,Seattle,WA,,,,2,True,False,True,True,True,False,False,True,False,False,False,False,False,"Companypublickey contains 2843338, Agent count is less then 5"
Brick Solid Real Estate Group,Brick Solid Real Estate Group,3132112,1301  S IH 35 Frontage Rd. ,Austin,TX,78741,512-279-6504,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
Test Subscription Company,Test Subscription Company,2934073, ,Seattle,WA,,,,2,False,False,False,True,False,False,False,False,False,False,False,False,False,"Companypublickey contains 2934073, Agent count is less then 5"
MoxiWorks Test 2,MoxiWorks Test 2,3016918, ,Tacoma,WA,,,,1,False,False,False,True,False,False,False,True,False,False,False,False,False,"Companypublickey contains 3016918, Agent count is less then 5"
Canter Brokerage,Canter Brokerage,3186553,655 West Broadway Suite 1650,San Diego,CA,92101,,,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Agent count is less then 5
"Big Block Realty, Inc.","Big Block Realty, Inc.",2604271,2820 Camino Del Rio S Ste 314 ,San Diego,CA,92108,,,6,False,False,False,True,False,False,False,False,False,False,False,False,False,Duplicate company of: 2604271
