office_legalname,office_name,officepublickey,office_addressline1,office_city,office_state,office_zip,office_phone,region_name,office_website,companypublickey,company_legalname,reason
Microsoft Azure AD Testers,Microsoft Azure Testers,13291974, ,Seattle,WA,,,Moxi Works,,1624333,MoxiWorks,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
"Genexus Group, Powered by Exp Realty","Genexus Group, Powered by Exp Realty",13108392,"304 East Main St, Suite 211 ",Round Rock,TX,78664,,"Genexus Group, Powered by eXp Realty",GenexusGroup.com,3144736,"Genexus Group, Powered by eXp Realty",Parent company's companypublickey did not match with company table entries
Keller Williams Realty,Keller Williams Realty,13061016,4160 Temescal Canyon Rd. #500 ,Corona,CA,92883,951-127-1300,Keller Williams Realty,,3123433,Keller Williams Realty,Parent company's companypublickey did not match with company table entries
Test Office11,Test Office11,11963472, ,Org1reg2,WA,,,Test Org1 Reg2,,1509928,TEST Company,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
,,13063977, ,,,,,,,1234567,Windermere Solutions LLC,Office name column was empty
touchCMA,touchCMA,8632347,1234 Real Estate St ,Anytown,CA,55555,555-555-5555,Demo,www.touchcma.com,1261393,Demo,Parent company's companypublickey did not match with company table entries
Wellington Office,Wellington Office,12462894,8401 Lake Worth Road Suite 2-222,Lake Worth,FL,33467,,Realty Associates Florida Properties,,2955376,"Realty Associates Florida Properties, Inc.",Parent company's companypublickey did not match with company table entries
King Realty Group,King Realty Group,12925797,100 Pine St. #1250 ,San Francisco,CA,94111,415-528-2228,King Realty,,3081616,King Realty,Parent company's companypublickey did not match with company table entries
MRIS,MRIS,8438895, ,,MD,,,MRIS,,1240879,MRIS,Parent company's companypublickey did not match with company table entries
ABoR,ABoR,8440869, ,,TX,,,Austin Board of Realtors,,1239301,Austin Board of Realtors,Parent company's companypublickey did not match with company table entries
Elizabeth Gray-Carr Team,Elizabeth Gray-Carr Team,8945226, ,Anderson,SC,,,Elizabeth Gray-Carr Team,,1552534,Elizabeth Gray-Carr Team,Parent company's companypublickey did not match with company table entries
Real,Real,12588243, ,,,,713-335-7649,GoodLife Realty,,1242457,GoodLife Realty,Parent company's companypublickey did not match with company table entries
Fusion Real Estate Network,Fusion Real Estate Network,9625269, ,Sacramento,CA,,,Fusion Real Estate Network,,1829473,Fusion Real Estate Network,Parent company's companypublickey did not match with company table entries
Decker Bullock Sothebys,Decker Bullock Sothebys,10328013, ,Greenbrae,CA,,,Decker Bullock Sotheby's International Realty,,2197936,Decker Bullock Sotheby's International Realty,Parent company's companypublickey did not match with company table entries
The Alexander Team,The Alexander Team,10353675, ,Atlanta,GA,,,The Alexander Team,,2212138,The Alexander Team,Parent company's companypublickey did not match with company table entries
Test Office,Test Office,10894551, ,Seattle,WA,,,Gapps Moxiworks,,2485132,Gapps Moxiworks,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Test Touchcma,Test Touchcma,8897850, ,Seattle,WA,,,GoodLife Realty,,1242457,GoodLife Realty,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Rose & Womble Realty Company,Corporate Office,11224209, ,Virginia Beach,VA,,,Rose & Womble Realty Company,,2569555,Rose & Womble Realty Company,Parent company's companypublickey did not match with company table entries
California Desert Association of Realtor,California Desert Association of Realtor,11270598, ,Palm Desert,CA,,,TouchCMA Demo,,2582968,TouchCMA Demo,Parent company's companypublickey did not match with company table entries
Texas Ally Real Estate Group,Texas Ally Real Estate Group,11493660, ,,,,512-276-3255,GoodLife Realty,,1242457,GoodLife Realty,Parent company's companypublickey did not match with company table entries
Keller Williams - Lake Travis,Keller Williams - Lake Travis,12306948, ,,,,512-226-3909,GoodLife Realty,,1242457,GoodLife Realty,Parent company's companypublickey did not match with company table entries
Coldwell Banker-Fahey Properties Inc.,Coldwell Banker-Fahey Properties Inc.,11619009, ,Pacifica,CA,,,Coldwell Banker-Fahey Properties Inc.,,2741557,Coldwell Banker-Fahey Properties Inc.,Parent company's companypublickey did not match with company table entries
Lyon Real Estate,Lyon Real Estate - Test,11907213, ,San Francisco,CA,,,LYON REAL ESTATE - TEST,,2820457,LYON REAL ESTATE,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Demo - Austin,Demo - Austin,8450739,18416 Flagler Drive ,Austin,,78738,,Demo,,1261393,Demo,"Office name was using the word demo, Parent company's companypublickey did not match with company table entries"
Demo Portland,Demo Portland,8857383, ,Portland,OR,,,Demo,,1261393,Demo,"Office name was using the word demo, Parent company's companypublickey did not match with company table entries"
Keller Williams Arlington,Demo-Kw-Arlington,10790916, ,Arlington,TX,,,Demo,,1261393,Demo,Parent company's companypublickey did not match with company table entries
Weston Office,Weston Office,12463881,4410 Weston Road ,Weston,FL,33331,954-472-7934,Realty Associates Florida Properties,,2955376,"Realty Associates Florida Properties, Inc.",Parent company's companypublickey did not match with company table entries
United Real Estate Austin,United Real Estate Austin,14859330,107 Ranch Road 620 Ste 117 ,Austin,TX,78734,,United Real Estate Austin,,3204700,United Real Estate Austin,Parent company's companypublickey did not match with company table entries
Coldwell Banker Residential Brokerage,Coldwell Banker -Wsc,11095899, ,Concord,CA,94519,,San Francisco Bay Area,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Coral Springs Office,Coral Springs Office,12460920,5541 N. University Drive Suite 102,Coral Springs,FL,33067,954-434-1587,Realty Associates Florida Properties,,2955376,"Realty Associates Florida Properties, Inc.",Parent company's companypublickey did not match with company table entries
RE/MAX  Advantage Plus - Downtown,Downtown,12551724,601 S. Federal Hwy #100 ,Boca Raton,FL,33432,561-139-4780,RE/MAX Advantage Plus,www.advantageplushomes.com,2994037,Associates Of Boca Raton,Parent company's companypublickey did not match with company table entries
Palm Beach Gardens/Jupiter Office,Palm Beach Gardens/Jupiter Office,12461907,4650 Donald Ross Road Suite A-112,Palm Beach Garden,FL,33418,561-177-5730,Realty Associates Florida Properties,,2955376,"Realty Associates Florida Properties, Inc.",Parent company's companypublickey did not match with company table entries
The RE/MAX Advantage Plus - Boardwalk,Boardwalk,12552711,6905 SW 18th St ,Boca Raton,FL,33433,561-144-7780,RE/MAX Advantage Plus,www.advantageplushomes.com,2994037,Associates Of Boca Raton,Parent company's companypublickey did not match with company table entries
RE/MAX Advantage Plus - Regency Court,Regency Court,12556659,3013 Yamato Rd Suite B14,Boca Raton,FL,33434,561-131-4780,RE/MAX Advantage Plus,www.advantageplushomes.com,2994037,Associates Of Boca Raton,Parent company's companypublickey did not match with company table entries
RE/MAX Advantage Plus - Boynton Beach,Boynton Beach,12554685,7410 Boynton Beach Blvd Suite A-1,Boynton Beach,FL,33437,561-173-7031,RE/MAX Advantage Plus,www.advantageplushomes.com,2994037,Associates Of Boca Raton,Parent company's companypublickey did not match with company table entries
"JB Goodwin, REALTORS","JB Goodwin, REALTORS",12636606, ,,,,512-250-2758,GoodLife Realty,,1242457,GoodLife Realty,Parent company's companypublickey did not match with company table entries
RE/MAX Advantage Plus - Delray Beach,Delray Beach,12553698,900 E. Atlantic Ave. Suite 10,Delray Beach,FL,33483,561-127-9780,RE/MAX Advantage Plus,www.advantageplushomes.com,2994037,Associates Of Boca Raton,Parent company's companypublickey did not match with company table entries
RE/MAX Advantage Plus - Parkland,Parkland,12555672,6612 Parkside Dr ,Parkland,FL,33067,954-434-1500,RE/MAX Advantage Plus,www.advantageplushomes.com,2994037,Associates Of Boca Raton,Parent company's companypublickey did not match with company table entries
Keller Williams Southwest Market Center,Keller Williams Southwest Market Center,12671151,1801 S Mopac Expressway #100 ,Austin,TX,78746,,Keller Williams Southwest Market Center,,3039799,Keller Williams Southwest Market Center,Parent company's companypublickey did not match with company table entries
West Boca - Corporate Office,West Boca - Corporate Office,12457959,9174 Glades Road ,Boca Raton,FL,33434,561-161-3039,Realty Associates Florida Properties,,2955376,"Realty Associates Florida Properties, Inc.",Parent company's companypublickey did not match with company table entries
Test Office Real Estate Inc.,Test Office,11281455, ,Seattle,AL,,,Default Windermere Region,,1234567,Windermere Solutions LLC,Office name was using the word test
Pacific Oak Real Estate,Pacific Oak Real Estate,14683644,17100 Monterey Rd Ste. 2A,Morgan Hill,CA,95037,,West,,3125011,Pacific Oak Real Estate Services,Parent company's companypublickey did not match with company table entries
GAT 2,GAT 2,14888940, ,seattle,WA,,,Google Auth Test,,3205489,Google Auth Test,Parent company's companypublickey did not match with company table entries
Los Altos,Los Altos,12987978,"241 South San Antonio Road, Suite A ",Los Altos,CA,94022,,TransPac Real Estate Inc & Lazar Homes,,3111598,TransPac Real Estate Inc & Lazar Homes,Parent company's companypublickey did not match with company table entries
Test Office,Test Office,12977121, ,Chatham,MA,,,Test Company,,2944330,Randall Family of Companies,Office name was using the word test
Bean Group | Cumberland,Cumberland,12075990,78 Route 1 ,Cumberland Foreside,ME,04110,207-778-1340,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Isellthecity Real Estate,Isellthecity Real Estate,12985017,833 Market St ,San Diego,CA,92101,619-925-9555,ISellTheCity Real Estate,http://www.isellthecity.com/,3110809,ISellTheCity Real Estate,Parent company's companypublickey did not match with company table entries
Bean Group | Bangor,Bangor,12476712,74 Gilman Road ,Bangor,ME,04401,207-792-2100,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Layton,Layton,12960342,579 Heritage Suite 201,Layton,UT,84041,,RE/MAX Metro Layton,,3098185,RE/MAX Metro Layton,Parent company's companypublickey did not match with company table entries
Share Test,Share Test,15806850,4801 S 19th St #200,Tacoma,WA,98405,206-620-6206,Moxi Works,,1624333,MoxiWorks,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Bean Group | Livermore Falls,Livermore Falls,13105431,42 Church Street ,Livermore Falls,ME,04254,207-789-7600,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Sanford,Sanford,12980082,1204 Main Street Suite 4,Sanford,ME,04073,207-732-4026,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | South Portland,South Portland,12067107,75 John Roberts Rd ,South Portland,ME,04106,207-777-4422,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Sacramento/Tahoe Region,Sacramento/Tahoe Region,12720501, ,Sacramento/Tahoe,CA,,,Sacramento/Tahoe,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Bean Group | Wiscasset,Wiscasset,12471777,152 Main Street ,Wiscasset,ME,04578,207-788-2650,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Foster Hamilton Real Estate Co.,Foster Hamilton Real Estate Co.,15364674, ,Bonita,CA,,,Foster Hamilton,,3229159,Foster Hamilton Real Estate Co.,Parent company's companypublickey did not match with company table entries
Moreland,Moreland,8442843, ,,TX,,,Moreland Real Estate,,1243246,Moreland Real Estate,Parent company's companypublickey did not match with company table entries
Bean Group | Gardiner,Gardiner,12744189,103 Brunswick Ave ,Gardiner,ME,04345,207-758-2460,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Prime Home Partners,Prime Home Partners,15228468,880 W Washington St Suite B,San Diego,CA,92103,,Prime Home Partners,,3225214,Prime Home Partners,Parent company's companypublickey did not match with company table entries
Automation Office 1,Automation Office 1,11930901, ,Seattle,WA,,,Automation Region 1,,2835448,Automation Test,Parent company's companypublickey did not match with company table entries
Google Auth Test,Google Auth Test,14887953, ,Seattle,WA,,,Google Auth Test,,3205489,Google Auth Test,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Other Office,Other Office,14889927, ,seattle,WA,,,Other Region,,3205489,Google Auth Test,Parent company's companypublickey did not match with company table entries
Test Subscription,Test Subscription,12356298, ,Seattle,WA,,,Test Subscription Company,,2934073,Test Subscription Company,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Coldwell Banker,Coldwell Banker,15176157, ,Orlando,FL,32837,,Coldwell Banker,,3219691,Coldwell Banker,Parent company's companypublickey did not match with company table entries
Regency-REALTORS,Regency-REALTORS,15224520,Serving Napa & Sonoma Counties  755 Baywood Drive Floor 2,Petaluma,CA,94954,707-778-5516,Regency-Realtors,,3223636,Regency-Realtors,Parent company's companypublickey did not match with company table entries
Compass,Compass,15220572, ,Del Mar,CA,,,Compas,,3221269,Compass Real Estate,Parent company's companypublickey did not match with company table entries
Test Office,Test Office,8876136,915 Madison Ave ,Testville,WA,98037,555-555-5555,Test Region,,1509928,TEST Company,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Orinda South,Orinda South,11729553,2 Theatre Square Ste 117,Orinda,CA,94563,925-525-3630,San Francisco Bay Area,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
,Partners Real Estate,8460609,4229 Lafayette Center Dr Ste# 1500 1500,CHANTILLY,VA,20151,703-382-5701,MRIS,,1240879,MRIS,Parent company's companypublickey did not match with company table entries
Demo - Los Angeles,Demo - Los Angeles,8446791,2121 La Mesa Drive ,Santa Monica,CA,90402,,Demo,,1261393,Demo,"Office name was using the word demo, Parent company's companypublickey did not match with company table entries"
Markham,Markham,15871005,#500-8300 Woodbine Ave ,Markham,WA,L36 4EC,905-590-9010,Bay Street Group Canada,,3271765,Bay Street Group,Parent company's companypublickey did not match with company table entries
Mississauga,Mississauga,15871992,#24 - 1170 Burnhamthorpe Rd ,Mississauga,WA,L5C 4E6,905-590-9010,Bay Street Group Canada,,3271765,Bay Street Group,Parent company's companypublickey did not match with company table entries
Demo - Seattle,Demo - Seattle,8454687,815 Western Avenue ,Seattle,WA,98104,,Demo,,1261393,Demo,"Office name was using the word demo, Parent company's companypublickey did not match with company table entries"
Demo - Walnut Creek,Demo - Walnut Creek,8447778,2455 Deer Valley Lane ,Walnut Creek,CA,94598,,Demo,,1261393,Demo,"Office name was using the word demo, Parent company's companypublickey did not match with company table entries"
Monterey Peninsula Home Team,Monterey Peninsula Home Team,15594645,501 Lighthouse Ave ,Pacific Grove,CA,93950,,Keller Williams Coastal Estates,,3236260,Keller Williams Coastal Estates,Parent company's companypublickey did not match with company table entries
Monterrey Coast Realty,Monterrey Coast Realty,15531477, ,Carmel,CA,,,Monterrey Coast Realty,,3233893,Monterrey Coast Realty,Parent company's companypublickey did not match with company table entries
San Francisco Lakeside,San Francisco Lakeside,11719683,2633 Ocean Ave ,San Francisco,CA,94132,415-533-4188,San Francisco Bay Area,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Truckee Glenshire,Truckee Glenshire,11746332,10095 Dorchester Dr ,Truckee,CA,96161,530-058-7605,Sacramento/Tahoe,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Branding Demo,Branding Demo,8946213, ,Seattle,WA,,,Branding Demo,,1553323,Branding Demo,"Office name was using the word demo, Parent company's companypublickey did not match with company table entries"
Clarus California,Clarus Office - L.A.,9135717,525 South Virgil Avenue ,Los Angeles,CA,90020,,DEMO ONLY - Suralc,http://www.clarusresource.com/,1664572,DEMO ONLY - Suralc,Parent company's companypublickey did not match with company table entries
Lyon - Sacramento,Demo Lyon,9136704, ,Sacramento,CA,,,DEMO ONLY - Noly,,1663783,DEMO ONLY - Noly,"Office name was using the word demo, Parent company's companypublickey did not match with company table entries"
Re/Max Gold,Re/Max Gold,9533478, ,Vacaville,CA,,,RE/MAX Gold,,1761619,RE/MAX Gold,Parent company's companypublickey did not match with company table entries
Deleted,Deleted,11369298, ,Hell,WA,,,Deleted,,2625574,Deleted,Parent company's companypublickey did not match with company table entries
GoodLife Luxury,GoodLife Luxury,8441856,1114 E Cesar Chavez ,Austin,TX,78702,512-289-2947,GoodLife Realty,www.goodlife.luxury,1242457,GoodLife Realty,Parent company's companypublickey did not match with company table entries
Test Office,Test Office (Hosted Ex 13),11830227, ,Seattle,WA,98104,,Hosted Moxiworks 2013,,2579812,Hosted Moxiworks 2013,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Hosted Moxiworks 2010,Hosted Moxiworks 2010,12248715, ,Seattle,WA,98104,,Hosted Moxiworks 2010,,2843338,Hosted Moxiworks 2010,Parent company's companypublickey did not match with company table entries
Elevate Realty Group,Elevate Realty Group,11604204, ,Granbury,TX,,,Elevate Realty Group,,2731300,Elevate Realty Group,Parent company's companypublickey did not match with company table entries
Keller Williams Prosper Celina,Keller Williams Prosper Celina,11605191,1212 S Preston Rd. ,Celina,TX,75009,972-238-2888,Keller Williams Realty North Country,,2732089,Keller Williams Realty North Country,Parent company's companypublickey did not match with company table entries
Compass,Compass,15793032,600 B Street ,San Diego,CA,92101,,Compass Individual,,3244939,Compass Individual,Parent company's companypublickey did not match with company table entries
CENTURY 21 LOIS LAUER YUC,CENTURY 21 LOIS LAUER YUC,11064315,33699 Yucaipa Blvd Suite 1-B ,YUCAIPA,CA,92399,909-957-0600,Century 21 Lois Lauer Realty,,2324176,Century 21 Lois Lauer Realty,Parent company's companypublickey did not match with company table entries
,Lyon RE Elk Grove,11906226,9591 Laguna Springs Drive ,Elk Grove,CA,95758,916-668-3660,Test Lyon,,2819668,Test Lyon,Parent company's companypublickey did not match with company table entries
Demo - DC,Demo - DC,8449752,5327 43rd Street NW ,Washington,DC,20015,,Demo,,1261393,Demo,"Office name was using the word demo, Parent company's companypublickey did not match with company table entries"
Demo - Naples,Demo - Naples,8453700,456 Terracina Way ,Naples,FL,34119,206-655-5121,Demo,,1261393,Demo,"Office name was using the word demo, Parent company's companypublickey did not match with company table entries"
Pinnacle Estate Properties Inc.,Pinnacle Estate Properties - Mission Hil,12303987,10328 Sepulveda Blvd. ,Mission Hills,CA,91345,818-827-0930,"Pinnacle Estate Properties, Inc.",,2920660,Pinnacle Estate Properties Inc.,Parent company's companypublickey did not match with company table entries
Corporate,Corporate,11940771,75 John Roberts Rd ,South Portland,ME,04106,,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
McMillin Realty,Chula Vista - Eastlake Pkwy,11788773,872 Eastlake Parkway Ste 610,Chula Vista,CA,91914,619-940-9840,Better Homes & Gardens Real Estate McMillin Realty,,2646877,Better Homes & Gardens Real Estate McMillin Realty,Parent company's companypublickey did not match with company table entries
Dominion Real Estate,Dominion Real Estate,12357285,1100 Dexter Ave N #100 ,Seattle,WA,98109,714-447-5225,Test Subscription Company,,2934073,Test Subscription Company,Parent company's companypublickey did not match with company table entries
Century 21 Lois Lauer Realty,Century 21 Lois Lauer Realty,10557984, ,Redlands,CA,,,Century 21 Lois Lauer Realty,,2324176,Century 21 Lois Lauer Realty,Parent company's companypublickey did not match with company table entries
Appleton,Appleton,10859019,101 Broadway Avenue Suite 800,Appleton City,VA,12345,455-582-2274,Moxi Works,www.moxiworks.com,1624333,MoxiWorks,Parent company's companypublickey did not match with company table entries
McMillin Realty,Chula Vista - East H St,11407791,320 East H Street Ste A,Chula Vista,CA,91910,619-942-2450,Better Homes & Gardens Real Estate McMillin Realty,http://www.mcmillinrealty.com/,2646877,Better Homes & Gardens Real Estate McMillin Realty,Parent company's companypublickey did not match with company table entries
Coldwell Banker Residential Brokerage,Cb Norcal,11641710, ,Concord,CA,94519,,San Francisco Bay Area,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Mill Valley Downtown,Mill Valley Downtown,11679216,25 East Blithedale ,Mill Valley,CA,94941,415-538-4066,San Francisco Bay Area,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Greenbrae,Greenbrae,11728566,500 Sir Francis Drake Blvd ,Greenbrae,CA,94904,415-546-1202,San Francisco Bay Area,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Kenwood,Kenwood,11731527,9200 Sonoma Highway ,Kenwood,CA,95452,707-783-3288,San Francisco Bay Area,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Ocean Lincoln,Ocean Lincoln,11732514,Ocean 3NE Lincoln PO Box 350,Carmel,CA,93921,831-162-6222,Sillicon Valley/Monterey Bay,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Tiburon,Tiburon,11744358,1660 Tiburon Blvd ,Tiburon,CA,94920,415-543-5100,San Francisco Bay Area,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
San Francisco Market,San Francisco Market,11747319,4155 24th St ,San Francisco,CA,94114,415-540-1630,San Francisco Bay Area,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Tahoe City Downtown,Tahoe City Downtown,11748306,531 N. Lake Blvd PO Box 5248,Tahoe City,CA,96145,530-058-3280,Sacramento/Tahoe,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Saratoga Prospect,Saratoga Prospect,11749293,12029 Saratoga-Sunnyvale Rd ,Saratoga,CA,95070,408-899-6110,Sillicon Valley/Monterey Bay,,2537995,Coldwell Banker Residential Brokerage,Parent company's companypublickey did not match with company table entries
Mcmillin Realty,San Diego,11790747,2750 Womble Road ,San Diego,CA,92106,619-942-2450,Better Homes & Gardens Real Estate McMillin Realty,,2646877,Better Homes & Gardens Real Estate McMillin Realty,Parent company's companypublickey did not match with company table entries
Bean Group | Bethel/Sunday River,Bethel/Sunday River,12070068,303 Mayville Road ,Bethel,ME,04217,207-782-4103,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Auburn,Auburn,12068094,34 Center St ,Auburn,ME,04210,207-768-9980,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Brunswick,Brunswick,12072042,104 Pleasant St Suite 3,Brunswick,ME,04011,207-772-1100,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Buxton,Buxton,12073029,771 Narragansett Trail ,Buxton,ME,04093,207-792-9313,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Fryeburg,Fryeburg,12076977,235 Bridgton Rd Unit 1,Fryeburg,ME,04037,207-793-5221,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Gorham,Gorham,12077964,352 Main St ,Gorham,ME,04038,207-783-9414,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Norway,Norway,12078951,33 Fair St ,Norway,ME,04268,207-774-3795,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Owl's Head,Owl's Head,12080925,114 Makers Cove Rd ,Owl's Head,ME,04854,207-754-2830,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Saco (Pepperell Square),Saco (Pepperell Square),12081912,18 Pepperell Square ,Saco,ME,04072,207-739-1620,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Saco (North Street),Saco (North Street),12083886,323 North St ,Saco,ME,04072,207-728-2500,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
